ID,food_group_id,long_desc,short_desc,common_names,manufac_name,survey,ref_desc,refuse,sci_name,nitrogen_factor,protein_factor,fat_factor,calorie_factor,Protein (g),Total lipid (fat) (g),"Carbohydrate, by difference (g)",Ash (g),Energy (kcal),"Alcohol, ethyl (g)",Water (g),Caffeine (mg),Theobromine (mg),Energy (kJ),"Sugars, total (g)","Fiber, total dietary (g)","Calcium, Ca (mg)","Iron, Fe (mg)","Magnesium, Mg (mg)","Phosphorus, P (mg)","Potassium, K (mg)","Sodium, Na (mg)","Zinc, Zn (mg)","Copper, Cu (mg)","Fluoride, F (mcg)","Manganese, Mn (mg)","Selenium, Se (mcg)","Vitamin A, IU (IU)",Retinol (mcg),"Vitamin A, RAE (mcg)","Carotene, beta (mcg)","Carotene, alpha (mcg)",Vitamin E (alpha-tocopherol) (mg),Vitamin D (IU),Vitamin D3 (cholecalciferol) (mcg),Vitamin D (D2 + D3) (mcg),"Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),"Tocopherol, beta (mg)","Tocopherol, gamma (mg)","Tocopherol, delta (mg)","Tocotrienol, alpha (mg)","Tocotrienol, beta (mg)","Tocotrienol, gamma (mg)","Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)",Thiamin (mg),Riboflavin (mg),Niacin (mg),Pantothenic acid (mg),Vitamin B-6 (mg),"Folate, total (mcg)",Vitamin B-12 (mcg),"Choline, total (mg)",Vitamin K (phylloquinone) (mcg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg)",Betaine (mg),Tryptophan (g),Threonine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Cystine (g),Phenylalanine (g),Tyrosine (g),Valine (g),Arginine (g),Histidine (g),Alanine (g),Aspartic acid (g),Glutamic acid (g),Glycine (g),Proline (g),Serine (g),"Vitamin E, added (mg)","Vitamin B-12, added (mcg)",Cholesterol (mg),"Fatty acids, total trans (g)","Fatty acids, total saturated (g)",4:0 (g),6:0 (g),8:0 (g),10:0 (g),12:0 (g),14:0 (g),16:0 (g),18:0 (g),20:0 (g),18:1 undifferentiated (g),18:2 undifferentiated (g),18:3 undifferentiated (g),20:4 undifferentiated (g),22:6 n-3 (DHA) (g),16:1 undifferentiated (g),18:4 (g),20:1 (g),20:5 n-3 (EPA) (g),22:1 undifferentiated (g),22:5 n-3 (DPA) (g),Stigmasterol (mg),Campesterol (mg),Beta-sitosterol (mg),"Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",17:0 (g),18:1 t (g),18:2 i (g),18:2 CLAs (g),16:1 c (g),18:1 c (g),"18:2 n-6 c,c (g)","Fatty acids, total trans-monoenoic (g)","Fatty acids, total trans-polyenoic (g)","18:3 n-3 c,c,c (ALA) (g)",Starch (g),Sucrose (g),Glucose (dextrose) (g),Fructose (g),Lactose (g),Maltose (g),Adjusted Protein (g),Galactose (g),Vitamin D2 (ergocalciferol) (mcg),Menaquinone-4 (mcg),Dihydrophylloquinone (mcg),Hydroxyproline (g)
1001,100,"Butter, salted","BUTTER,WITH SALT",,,Y,,0,,6.38,4.27,8.79,3.87,0.85,81.11,0.06,2.11,717,,15.87,,,3000,0.06,,24,0.02,2,24,24,643,0.09,,2.8,,1,2499,671,684,158,,2.32,60,1.5,1.5,,,,,,,,,,,,0.005,0.034,0.042,0.11,0.003,3,0.17,18.8,7,,3,3,0.3,0.012,0.038,0.051,0.083,0.067,0.021,0.008,0.041,0.041,0.057,0.031,0.023,0.029,0.064,0.178,0.018,0.082,0.046,,,215,3.278,51.368,3.226,2.007,1.19,2.529,2.587,7.436,21.697,9.999,0.138,19.961,2.728,0.315,,,0.961,,0.1,,,,,,4,21.021,3.043,0.56,2.982,0.296,0.267,0.961,16.978,2.166,2.982,0.296,0.315,,,,,,,,,,,,
1002,100,"Butter, whipped, with salt","BUTTER,WHIPPED,WITH SALT",,,Y,,0,,6.38,4.27,8.79,3.87,0.85,81.11,0.06,2.11,717,0,15.87,0,0,2999,0.06,0,24,0.16,2,23,26,659,0.05,0.016,2.8,0.004,1,2499,671,684,158,0,2.32,60,1.5,1.5,0,0,0,,,,,,,,0,0.005,0.034,0.042,0.11,0.003,3,0.13,18.8,7,0,3,3,0.3,0.012,0.038,0.051,0.083,0.067,0.021,0.008,0.041,0.041,0.057,0.031,0.023,0.029,0.064,0.178,0.018,0.082,0.046,0,0,219,,50.489,2.63,1.557,0.906,2.034,2.277,8.157,21.334,9.829,,20.405,1.832,1.18,0,0,1.816,0,0,0,0,0,,,,23.426,3.012,,,,,,,,,,,,,,,,,,,,,,
1003,100,"Butter oil, anhydrous","BUTTER OIL,ANHYDROUS",,,Y,,0,,6.38,4.27,8.79,3.87,0.28,99.48,0,0,876,0,0.24,0,0,3664,0,0,4,0,0,3,5,2,0.01,0.001,,0,0,3069,824,840,193,0,2.8,73,1.8,1.8,0,0,0,,,,,,,,0,0.001,0.005,0.003,0.01,0.001,0,0.01,22.3,8.6,0,0,0,,0.004,0.013,0.017,0.027,0.022,0.007,0.003,0.014,0.014,0.019,0.01,0.008,0.01,0.021,0.059,0.006,0.027,0.015,0,0,256,,61.924,3.226,1.91,1.112,2.495,2.793,10.005,26.166,12.056,,25.026,2.247,1.447,0,0,2.228,0,0,0,0,0,,,,28.732,3.694,,,,,,,,,,,,,,,,,,,,,,
1004,100,"Cheese, blue","CHEESE,BLUE",,,Y,,0,,6.38,4.27,8.79,3.87,21.4,28.74,2.34,5.11,353,0,42.41,0,0,1477,0.5,0,528,0.31,23,387,256,1146,2.66,0.04,,0.009,14.5,721,192,198,74,0,0.25,21,0.5,0.5,0,0,0,,,,,,,,0,0.029,0.382,1.016,1.729,0.166,36,1.22,15.4,2.4,0,36,36,,0.312,0.785,1.124,1.919,1.852,0.584,0.107,1.087,1.295,1.556,0.711,0.758,0.644,1.436,5.179,0.406,2.1,1.12,0,0,75,,18.669,0.658,0.361,0.247,0.601,0.491,3.301,9.153,3.235,,6.622,0.536,0.264,0,0,0.816,0,0,0,0,0,,,,7.778,0.8,,,,,,,,,,,,,,,,,,,,,,
1005,100,"Cheese, brick","CHEESE,BRICK",,,Y,,0,,6.38,4.27,8.79,3.87,23.24,29.68,2.79,3.18,371,0,41.11,0,0,1552,0.51,0,674,0.43,24,451,136,560,2.6,0.024,,0.012,14.5,1080,286,292,76,0,0.26,22,0.5,0.5,0,0,0,,,,,,,,0,0.014,0.351,0.118,0.288,0.065,20,1.26,15.4,2.5,0,20,20,,0.324,0.882,1.137,2.244,2.124,0.565,0.131,1.231,1.115,1.472,0.874,0.823,0.67,1.588,5.515,0.437,2.575,1.289,0,0,94,,18.764,0.914,0.373,0.299,0.585,0.482,3.227,8.655,3.455,,7.401,0.491,0.293,0,0,0.817,0,0,0,0,0,,,,8.598,0.784,,,,,,,,,,,,,,,,,,,,,,
1006,100,"Cheese, brie","CHEESE,BRIE",,,Y,,0,,6.38,4.27,8.79,3.87,20.75,27.68,0.45,2.7,334,0,48.42,0,0,1396,0.45,0,184,0.5,20,188,152,629,2.38,0.019,,0.034,14.5,592,173,174,9,0,0.24,20,0.5,0.5,0,0,0,,,,,,,,0,0.07,0.52,0.38,0.69,0.235,65,1.65,15.4,2.3,0,65,65,,0.322,0.751,1.015,1.929,1.851,0.592,0.114,1.158,1.2,1.34,0.735,0.716,0.859,1.35,4.387,0.397,2.459,1.168,0,0,100,,17.41,0.564,0.323,0.297,0.673,0.504,3.065,8.246,2.88,,6.563,0.513,0.313,0,0,1.007,0,0,0,0,0,,,,8.013,0.826,,,,,,,,,,,,,,,,,,,,,,
1007,100,"Cheese, camembert","CHEESE,CAMEMBERT",,,Y,,0,,6.38,4.27,8.79,3.87,19.8,24.26,0.46,3.68,300,0,51.8,0,0,1253,0.46,0,388,0.33,20,347,187,842,2.38,0.021,,0.038,14.5,820,240,241,12,0,0.21,18,0.4,0.4,0,0,0,,,,,,,,0,0.028,0.488,0.63,1.364,0.227,62,1.3,15.4,2,0,62,62,,0.307,0.717,0.968,1.84,1.766,0.565,0.109,1.105,1.145,1.279,0.701,0.683,0.819,1.288,4.187,0.379,2.346,1.114,0,0,72,,15.259,0.494,0.283,0.26,0.59,0.442,2.686,7.227,2.524,,5.752,0.45,0.274,0,0,0.883,0,0,0,0,0,,,,7.023,0.724,,,,,,,,,,,,,,,,,,,,,,
1008,100,"Cheese, caraway","CHEESE,CARAWAY",,,,,0,,6.38,4.27,8.79,3.87,25.18,29.2,3.06,3.28,376,,39.28,,,1573,,0,673,0.64,22,490,93,690,2.94,0.024,,0.021,14.5,1054,262,271,,,,,,,,,,,,,,,,,0,0.031,0.45,0.18,0.19,0.074,18,0.27,,,0,18,18,,0.324,0.896,1.563,2.412,2.095,0.659,0.126,1.326,1.216,1.682,0.952,0.884,0.711,1.618,6.16,0.439,2.838,1.472,,,93,,18.584,0.922,0.466,0.246,0.529,0.477,2.934,8.638,3.531,,6.965,0.508,0.322,,0,0.885,0,0,0,0,0,,,,8.275,0.83,,,,,,,,,,,,,,,,,,,,,,
1009,100,"Cheese, cheddar","CHEESE,CHEDDAR",,,Y,,0,,,,,,24.04,33.82,1.33,3.71,406,0,37.1,0,0,1698,0.28,0,675,0.16,27,473,76,644,3.43,0.056,34.9,0.033,28.3,994,256,263,85,0,0.78,24,0.6,0.6,0,0,0,0,0.06,0,0,0,0,0,0,0.027,0.434,0.039,0.481,0.049,26,0.88,16.5,2.9,0,26,26,0.7,0.558,1.066,1.231,1.98,1.046,0.558,0.125,1.096,1.131,1.433,0.558,0.558,0.767,1.77,4.834,0.558,2.549,0.796,0,0,102,1.179,19.368,0.675,0.565,0.361,0.857,0.967,3.103,8.705,3.547,0.049,7.509,1.179,0.122,0.05,0,0.492,0,0.061,0.01,0.001,0.017,,,,8.428,1.433,0.195,0.842,,0.174,0.388,6.667,0.775,0.946,0.233,0.117,,0,0,0,0.18,0,,0.1,,8.6,0,0
1010,100,"Cheese, cheshire","CHEESE,CHESHIRE",,,,,0,,6.38,4.27,8.79,3.87,23.37,30.6,4.78,3.6,387,,37.65,,,1620,,0,643,0.21,21,464,95,700,2.79,0.042,,0.012,14.5,985,220,233,,,,,,,,,,,,,,,,,0,0.046,0.293,0.08,0.413,0.074,18,0.83,,,0,18,18,,0.3,0.832,1.451,2.238,1.945,0.612,0.117,1.231,1.128,1.56,0.883,0.821,0.659,1.502,5.718,0.403,2.634,1.366,,,103,,19.475,0.966,0.488,0.258,0.554,0.5,3.075,9.052,3.7,,7.299,0.533,0.337,,0,0.927,0,0,0,0,0,,,,8.671,0.87,,,,,,,,,,,,,,,,,,,,,,
