ID,ell_light_uk,ell_moist_uk,ell_pH_uk,ell_N,li_form_B,ros,reprod_B,strategy,self_st,Breeding_sys,flw_muell,poll_vect_B,MycoFlor
Abies alba,-3.0,6.0,5.0,6.0,M,r,s,c,SI,X,W,wi,OM
Abutilon theophrasti,8.0,5.0,7.0,7.0,T,r,s,cr,SC,AO,Po,se,OM
Acer campestre,-5.0,5.0,7.0,6.0,M,r,ssv,c,,AF,A,in,FM
Acer negundo,-5.0,6.0,7.0,7.0,M,r,sv,c,,X,A,wi,OM
Acer platanoides,-4.0,5.0,7.0,6.0,M,r,s,c,SI,X,A,in,FM
Acer pseudoplatanus,-4.0,5.0,6.0,6.0,M,r,s,c,,AF,A,in,FM
Aceras anthropophorum,,,,,G,h,s,csr,SC,XF,B,se,OM
Achillea clavennae,,,,,H,h,sv,cs,SI,X,B`,in,OM
Achillea millefolium,7.0,4.0,6.0,4.0,H,h,sv,c,SI,X,B`,in,FM
Achillea nobilis,,,,,H,h,sv,cs,SI,X,B`,in,OM
Achillea ptarmica,7.0,7.0,4.0,2.0,H,r,sv,cs,SI,X,,in,FM
Achillea salicifolia,,,,,H,r,sv,cs,SI,X,B`,in,NM
Achillea setacea,,,,,H,h,sv,cs,SI,X,B`,in,OM
Acinos alpinus,,,,,H,r,s,csr,SC,AFXF,H,se,OM
Aconitum napellus,5.0,7.0,7.0,6.0,H,r,s,c,,,Hh,se,FM
Acorus calamus,8.0,10.0,7.0,7.0,G,g,v,cs,,,A,,FM
Acroptilon repens,,,,,G,r,vvs,c,SI,X,B`,in,OM
Actaea spicata,3.0,5.0,6.0,6.0,H,r,sv,cs,SC,AFXF,Po,se,FM
Adenophora liliifolia,,,,,H,h,s,cs,,,B,se,OM
Adonis aestivalis,,,,,H,h,s,sr,,,Po,se,OM
Adonis vernalis,,,,,H,r,sv,csr,SI,X,Po,se,OM
Adoxa moschatellina,3.0,5.0,6.0,5.0,G,r,vvs,csr,I+,X,A,se,FM
