index,a1,a2,a3,b1,b2,b3,c1,o1,o2
0,1.5143575054634186,65.55021465361459,0.6640258239818104,Grad,heavy,S,M,28.583623943465827,high
1,1.5494708681403226,66.63920434702653,0.6929796514526891,HS,light,NS,M,27.756389437942918,low
2,1.5576832500204147,66.08768494665014,0.6888391923159699,HS,light,NS,F,27.237186151012544,low
3,1.4991966021998226,63.799741812536624,0.6729101256836317,Uni,moderate,NS,M,28.385839490649555,med
4,1.6411104111879466,65.9591268190413,0.7327960160263346,Grad plus,turbo,S,M,24.49059274293114,high
5,1.674478649842375,65.97760098165791,0.7304185958189905,HS,light,NS,F,23.530832426478476,low
6,1.5624099420373123,66.35709570279533,0.6827306838304041,Grad,heavy,S,M,27.182999807907617,high
7,1.5080749017080555,65.18212518012739,0.6707153974163534,Uni,moderate,NS,F,28.66042931358372,med
8,1.5787498268107916,66.33048338740036,0.6942039370042259,Uni,moderate,NS,F,26.612552451694366,med
9,1.483933490916162,65.60037749443745,0.6681490463981267,Grad,heavy,S,F,29.790477570262297,med
10,1.4897850342766588,64.55391935903575,0.6700959472618776,Grad plus,turbo,S,M,29.085424113916492,high
11,1.5819587902797274,65.30078264965985,0.6852137833843791,some HS,inactive,NS,F,26.0932427384995,low
12,1.5512167639775494,65.33543386752343,0.6975540422744316,Grad plus,turbo,S,M,27.152123504036783,high
13,1.681779839546502,65.17369882793713,0.7417270095674613,HS,light,NS,M,23.042738182699697,med
14,1.4070922374280705,64.4472745519777,0.6372202103557119,Grad,heavy,S,F,32.55063173283993,med
15,1.502224643267733,65.33573999457171,0.6825955743589591,Uni,moderate,S,M,28.95216532895947,med
16,1.6020915412515357,67.33083868476218,0.7061077659873228,Grad,heavy,S,M,26.2324811394576,high
17,1.5924359654745444,65.6446592764795,0.7028238322820326,Uni,moderate,NS,M,25.88662564037762,med
18,1.663448516322449,67.47371973338633,0.731958328411613,Grad plus,turbo,S,F,24.384616223263446,high
19,1.636302426170906,66.53543343812187,0.7414663217764553,Uni,moderate,NS,M,24.849968453719004,med
20,1.5154505202976276,66.54956473068133,0.6947743292984133,Grad,heavy,S,M,28.97755221102359,high
21,1.7609838054557514,66.21406366067191,0.781977140400506,Grad plus,turbo,S,M,21.352047055154163,high
