id_ID,id_ell_light_uk,id_ell_moist_uk,id_ell_pH_uk,id_ell_N,id_li_form_B,id_ros,id_reprod_B,id_strategy,id_self_st,id_Breeding_sys,id_flw_muell,id_poll_vect_B,id_MycoFlor
Abies alba,-3.0,6.0,5.0,6.0,M,r,s,c,SI,X,W,wi,OM
Abutilon theophrasti,8.0,5.0,7.0,7.0,T,r,s,cr,SC,AO,Po,se,OM
Acer campestre,-5.0,5.0,7.0,6.0,M,r,ssv,c,not defined,AF,A,in,FM
Acer negundo,-5.0,6.0,7.0,7.0,M,r,sv,c,not defined,X,A,wi,OM
Acer platanoides,-4.0,5.0,7.0,6.0,M,r,s,c,SI,X,A,in,FM
Acer pseudoplatanus,-4.0,5.0,6.0,6.0,M,r,s,c,not defined,AF,A,in,FM
Aceras anthropophorum,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,h,s,csr,SC,XF,B,se,OM
Achillea clavennae,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,cs,SI,X,B`,in,OM
Achillea millefolium,7.0,4.0,6.0,4.0,H,h,sv,c,SI,X,B`,in,FM
Achillea nobilis,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,cs,SI,X,B`,in,OM
Achillea ptarmica,7.0,7.0,4.0,2.0,H,r,sv,cs,SI,X,not defined,in,FM
Achillea salicifolia,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,r,sv,cs,SI,X,B`,in,NM
Achillea setacea,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,cs,SI,X,B`,in,OM
Acinos alpinus,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,r,s,csr,SC,AFXF,H,se,OM
Aconitum napellus,5.0,7.0,7.0,6.0,H,r,s,c,not defined,not defined,Hh,se,FM
Acorus calamus,8.0,10.0,7.0,7.0,G,g,v,cs,not defined,not defined,A,not defined,FM
